"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,0.481753459694616,0.718,0.275,0,"Neuroblasts","Neurod1"
0,0.442123145581972,0.591,0.129,0,"Neuroblasts","Mfap4"
0,0.433084687634507,0.634,0.227,0,"Neuroblasts","Negr1"
0,0.423669358074866,0.672,0.245,0,"Neuroblasts","Plcb1"
0,0.417594551214856,0.634,0.218,0,"Neuroblasts","Slc17a6"
0,0.407352025125517,0.586,0.164,0,"Neuroblasts","Hs3st1"
0,0.401769752093316,0.743,0.332,0,"Neuroblasts","Unc5d"
0,0.394708897514914,0.752,0.319,0,"Neuroblasts","Rnd2"
0,0.382142986969024,0.584,0.197,0,"Neuroblasts","Cdk6"
0,1.05631535489554,0.843,0.127,0,"GABAergic neurons","Meg3"
0,1.00554302581777,0.895,0.09,0,"GABAergic neurons","Nrxn3"
0,0.830497908194005,0.748,0.079,0,"GABAergic neurons","Dlx6os1"
0,0.751488953734771,0.742,0.069,0,"GABAergic neurons","Gad2"
0,0.750528788258594,0.791,0.264,0,"GABAergic neurons","Bcl11b"
0,0.668992718384728,0.654,0.074,0,"GABAergic neurons","Sp9"
0,0.616858662417565,0.637,0.096,0,"GABAergic neurons","Sox2ot"
0,0.606310195585589,0.588,0.12,0,"GABAergic neurons","Arx"
0,0.60169945730806,0.915,0.482,0,"GABAergic neurons","Stmn2"
0,0.60100357721896,0.991,0.772,0,"GABAergic neurons","Nnat"
0,0.547637414897894,0.99,0.699,0,"GABAergic neurons","Map1b"
0,0.53434584103597,0.593,0.095,0,"GABAergic neurons","Dlx1"
0,0.527445492823695,0.596,0.152,0,"GABAergic neurons","Runx1t1"
0,0.516852014747097,0.557,0.054,0,"GABAergic neurons","Dlx5"
0,0.507414388640173,0.376,0.029,0,"GABAergic neurons","Gucy1a1"
0,0.481777176841715,0.627,0.196,0,"Immature neurons","Neurod1"
0,0.478302821302736,0.929,0.61,0,"Immature neurons","Epha5"
0,0.477362223376871,0.822,0.434,0,"Immature neurons","Enc1"
0,0.474899681780813,0.555,0.178,0,"Immature neurons","Pcp4"
0,0.433883413648391,0.861,0.432,0,"Immature neurons","Neurod2"
0,0.420296891104799,0.94,0.574,0,"Immature neurons","Ttc28"
0,0.418191831727553,0.655,0.261,0,"Immature neurons","Unc5d"
0,0.395690465553542,0.86,0.538,0,"Immature neurons","Itm2b"
0,0.380975121983699,0.809,0.484,0,"Immature neurons","Mllt3"
0,0.379426552784175,0.631,0.25,0,"Immature neurons","Sema3c"
0,0.379409073055179,0.711,0.461,0,"Immature neurons","Nr2f1"
0,0.378636194412896,0.937,0.606,0,"Immature neurons","Gria2"
0,0.375292802021596,0.599,0.262,0,"Immature neurons","Rnd2"
0,0.37528294617574,0.902,0.505,0,"Immature neurons","Neurod6"
0,0.357056925060653,0.531,0.176,0,"Immature neurons","Sstr2"
0,1.39801480198358,0.973,0.013,0,"Oligodendrocytes","Olig1"
0,1.08979065270403,0.826,0.015,0,"Oligodendrocytes","Serpine2"
0,1.04872891194358,0.9,0.118,0,"Oligodendrocytes","Cspg5"
0,1.0477984766976,0.826,0.003,0,"Oligodendrocytes","Pdgfra"
0,0.931970904631438,0.845,0.02,0,"Oligodendrocytes","Olig2"
0,0.875422011285189,0.822,0.028,0,"Oligodendrocytes","Ncald"
0,0.869849948409906,0.699,0.003,0,"Oligodendrocytes","Lhfpl3"
0,0.845413365940299,0.667,0.006,0,"Oligodendrocytes","Cntn1"
0,0.741866463263893,0.749,0.042,0,"Oligodendrocytes","Ednrb"
0,0.714175825532125,0.685,0.035,0,"Oligodendrocytes","Bcan"
0,0.695902234886649,0.603,0.023,0,"Oligodendrocytes","Scrg1"
0,0.684738798625677,0.68,0.028,0,"Oligodendrocytes","Xylt1"
0,0.621084558979843,0.648,0.037,0,"Oligodendrocytes","Gng12"
0,0.601412710582883,0.521,0.019,0,"Oligodendrocytes","Ostf1"
0,0.583487600097313,0.543,0.001,0,"Oligodendrocytes","Cspg4"
1.07812871068304e-140,-0.452092033832273,0.876,0.991,1.55768036119486e-136,"Non myelinating Schwann cells","Rps15a"
3.07806105449417e-140,0.675235383569122,0.891,0.565,4.44718261153318e-136,"Non myelinating Schwann cells","Gpm6a"
2.56169552550829e-136,0.621492889437663,0.964,0.679,3.70113769525438e-132,"Non myelinating Schwann cells","Gria2"
4.36342805500403e-134,0.563960276895121,0.62,0.198,6.30428085386983e-130,"Non myelinating Schwann cells","Ntm"
1.00380241591296e-132,-0.327830396669011,0.981,1,1.45029373051104e-128,"Non myelinating Schwann cells","Tpt1"
1.59865521400628e-129,-0.435429635500058,0.869,0.993,2.30973705319628e-125,"Non myelinating Schwann cells","Rpl32"
1.32925328778509e-127,0.267686069057877,0.996,0.987,1.92050515019189e-123,"Non myelinating Schwann cells","mt-Nd4"
1.00196342183649e-126,0.583368799736801,0.745,0.301,1.44763675186935e-122,"Non myelinating Schwann cells","Cntn2"
7.75908369044887e-126,-0.334085305748821,0.974,0.998,1.12103241159605e-121,"Non myelinating Schwann cells","H3f3a"
2.43271667026584e-124,-0.424463849740737,0.882,0.994,3.51478904520008e-120,"Non myelinating Schwann cells","Rps24"
3.14011475979382e-124,-0.473179307183644,0.781,0.985,4.53683780495011e-120,"Non myelinating Schwann cells","Rps12"
9.17100573681626e-121,-0.369310968130349,0.918,0.996,1.32502690885521e-116,"Non myelinating Schwann cells","Rps14"
1.91465763817618e-119,0.294984616156703,0.356,0.073,2.76629735563694e-115,"Non myelinating Schwann cells","Clstn2"
2.06942764424895e-115,-0.413955087783376,0.824,0.984,2.98990906041088e-111,"Non myelinating Schwann cells","Rps13"
1.93724197268064e-113,-0.361689443954919,0.923,0.994,2.79892720212898e-109,"Non myelinating Schwann cells","Rps27a"
0,1.48475288213232,0.75,0.012,0,"Neuroepithelial cells","Hexb"
0,1.37340661343645,0.912,0.002,0,"Neuroepithelial cells","Selenop"
0,1.29381671410385,0.882,0.017,0,"Neuroepithelial cells","Cyba"
0,1.27073589005914,0.926,0.014,0,"Neuroepithelial cells","B2m"
0,1.15895333741596,0.647,0.002,0,"Neuroepithelial cells","Atf3"
0,1.1531136475581,0.912,0.03,0,"Neuroepithelial cells","Arpc1b"
0,1.08948950789323,0.765,0.022,0,"Neuroepithelial cells","Rgs10"
0,1.04353815728031,0.515,0.004,0,"Neuroepithelial cells","Hmox1"
0,1.01739542603572,0.662,0.006,0,"Neuroepithelial cells","Zfp36"
0,0.97571103504069,0.735,0.007,0,"Neuroepithelial cells","Rnase4"
0,0.882082603779162,0.706,0.003,0,"Neuroepithelial cells","Fyb"
0,0.873303127362861,0.75,0.018,0,"Neuroepithelial cells","Sirpa"
0,0.859778275589458,0.75,0.011,0,"Neuroepithelial cells","Itgb5"
0,0.858794159161475,0.809,0.005,0,"Neuroepithelial cells","Gatm"
0,0.825222002096927,0.75,0.012,0,"Neuroepithelial cells","Ucp2"
