"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,0.89825931287263,0.643,0.064,0,"Endothelial cells","Cdkn1c"
0,0.897597589471395,0.823,0.121,0,"Endothelial cells","Serpinh1"
0,0.885639474906924,0.739,0.126,0,"Endothelial cells","Rbp1"
0,0.880121974833404,0.642,0.058,0,"Endothelial cells","Col4a1"
0,0.855992895455332,0.635,0.011,0,"Endothelial cells","Cxcl12"
0,1.34577407560267,0.994,0.365,0,"Neural Progenitor cells","Hmgb2"
0,1.23633443332896,0.769,0.114,0,"Neural Progenitor cells","Hist1h1b"
0,1.21637616807117,0.859,0.122,0,"Neural Progenitor cells","Top2a"
0,1.19080944128884,0.759,0.186,0,"Neural Progenitor cells","Hist1h2ap"
0,1.04425329323608,0.889,0.114,0,"Neural Progenitor cells","Pclaf"
0,1.0249648531038,0.846,0.104,0,"Neural Progenitor cells","Cenpf"
0,0.994008289183112,0.863,0.107,0,"Neural Progenitor cells","Mki67"
0,0.991890016647493,0.656,0.131,0,"Neural Progenitor cells","Hist1h2ae"
0,0.98137705098081,0.993,0.655,0,"Neural Progenitor cells","H2afz"
0,0.974049767582912,0.963,0.402,0,"Neural Progenitor cells","Tuba1b"
0,0.973360942976143,0.818,0.081,0,"Neural Progenitor cells","Cks2"
0,0.938562178157224,0.852,0.089,0,"Neural Progenitor cells","Tpx2"
0,0.935294283087183,0.874,0.091,0,"Neural Progenitor cells","Cdca8"
0,0.909470712885883,0.93,0.312,0,"Neural Progenitor cells","Anp32b"
0,0.905494701085938,0.934,0.349,0,"Neural Progenitor cells","Dek"
0,1.59227519216583,0.798,0.002,0,"Microglial cells","C1qb"
0,1.54941124659528,0.791,0.002,0,"Microglial cells","C1qa"
0,1.5418466232588,0.923,0.002,0,"Microglial cells","Tyrobp"
0,1.52567306854914,0.925,0.002,0,"Microglial cells","Fcer1g"
0,1.46236794692653,0.794,0.001,0,"Microglial cells","C1qc"
0,1.30984567825963,0.914,0.251,0,"Microglial cells","Ctsb"
0,1.30576868585584,0.699,0.002,0,"Microglial cells","Lyz2"
0,1.27172756412124,0.921,0.078,0,"Microglial cells","B2m"
0,1.26976978341062,0.869,0.091,0,"Microglial cells","Lgmn"
0,1.26632151258696,0.845,0.002,0,"Microglial cells","Ctss"
0,1.23206359041503,0.826,0.076,0,"Microglial cells","Selenop"
0,1.20955358413851,0.856,0.014,0,"Microglial cells","Plek"
0,1.20360117408033,0.807,0.098,0,"Microglial cells","Cebpb"
0,1.19856292977661,0.899,0.174,0,"Microglial cells","Ctsd"
0,1.19459897849339,0.544,0.001,0,"Microglial cells","Ccl2"
