MGI Gene/Marker ID,Symbol,Name,Chr,Qualifier,Annotated Term,Context,Proteoform,Evidence,Inferred From,Reference(s)
MGI:2147658,Afap1l2,actin filament associated protein 1-like 2,19,,regulation of mitotic cell cycle,,,IBA,PTN002682769 ,J:265628 
MGI:2147658,Afap1l2,actin filament associated protein 1-like 2,19,,regulation of mitotic cell cycle,,,ISO,Q8N4X5 ,J:164563 
MGI:1343098,Aif1,allograft inflammatory factor 1,17,,positive regulation of G1/S transition of mitotic cell cycle,,,ISO,P55008 ,J:164563 
MGI:87977,Ak1,adenylate kinase 1,2,,regulation of G1/S transition of mitotic cell cycle,,PR:Q9R0Y5-2,IDA,,J:66300 
MGI:1928488,Akap8,A kinase anchor protein 8,17,,mitotic chromosome condensation,,,IDA,,J:94339 
MGI:1928488,Akap8,A kinase anchor protein 8,17,,mitotic chromosome condensation,,,ISO,O43832 ,J:73065 
MGI:1860606,Akap8l,A kinase anchor protein 8-like,17,,mitotic chromosome condensation,,,ISO,Q9ULX6 ,J:164563 
MGI:87986,Akt1,thymoma viral proto-oncogene 1,12,,positive regulation of G1/S transition of mitotic cell cycle,,,ISO,P31749 ,J:164563 
MGI:2443564,Ambra1,autophagy/beclin 1 regulator 1,2,,regulation of G1/S transition of mitotic cell cycle,,,ISO,Q9C0C7 ,J:164563 
MGI:103097,Anapc1,anaphase promoting complex subunit 1,2,,metaphase/anaphase transition of mitotic cell cycle,,,IBA,PTN000302700 ,J:265628 
MGI:2139135,Anapc2,anaphase promoting complex subunit 2,2,,metaphase/anaphase transition of mitotic cell cycle,,,IBA,PTN000231994 ,J:265628 
MGI:1098673,Anapc4,anaphase promoting complex subunit 4,5,,regulation of mitotic metaphase/anaphase transition,,,IEA,IPR017169 ,J:72247 
MGI:1929722,Anapc5,anaphase-promoting complex subunit 5,5,,positive regulation of mitotic metaphase/anaphase transition,,,IBA,PTN000302880 ,J:265628 
MGI:1929711,Anapc7,anaphase promoting complex subunit 7,5,,positive regulation of mitotic metaphase/anaphase transition,,,IBA,PTN002649316 ,J:265628 
MGI:1913406,Anapc11,anaphase promoting complex subunit 11,11,,positive regulation of mitotic metaphase/anaphase transition,,,IBA,PTN000129916 ,J:265628 
MGI:1913406,Anapc11,anaphase promoting complex subunit 11,11,,positive regulation of mitotic metaphase/anaphase transition,,,ISO,Q9NYG5 ,J:164563 
MGI:1922680,Anapc15,anaphase promoting complex C subunit 15,7,,regulation of mitotic cell cycle spindle assembly checkpoint,,,IBA,PTN001096157 ,J:265628 
MGI:1922680,Anapc15,anaphase promoting complex C subunit 15,7,,regulation of mitotic cell cycle spindle assembly checkpoint,,,ISO,P60006 ,J:164563 
MGI:3646302,Anapc15-ps,"anaphase promoting complex C subunit 15, pseudogene",10,,regulation of mitotic cell cycle spindle assembly checkpoint,,,IBA,PTN001096157 ,J:265628 
MGI:3646302,Anapc15-ps,"anaphase promoting complex C subunit 15, pseudogene",10,,regulation of mitotic cell cycle spindle assembly checkpoint,,,ISO,P60006 ,J:164563 
MGI:1196310,Angel2,angel homolog 2,1,,negative regulation of mitotic cell cycle,,,ISO,Q5VTE6 ,J:164563 
MGI:88026,Ank3,"ankyrin 3, epithelial",10,,mitotic cytokinesis,,,ISO,Q12955 ,J:164563 
MGI:2686021,Ankfn1,ankyrin-repeat and fibronectin type III domain containing 1,11,,establishment of mitotic spindle orientation,,,IBA,PTN000484755 ,J:265628 
MGI:1261856,Ankle2,ankyrin repeat and LEM domain containing 2,5,,mitotic nuclear membrane reassembly,,,ISO,Q86XL3 ,J:164563 
MGI:1932101,Ankrd17,ankyrin repeat domain 17,5,,positive regulation of G1/S transition of mitotic cell cycle,,,ISO,O75179 ,J:164563 
MGI:1922555,Ankrd53,ankyrin repeat domain 53,6,,mitotic metaphase chromosome alignment,,,IBA,PTN001192898 ,J:265628 
MGI:1922555,Ankrd53,ankyrin repeat domain 53,6,,mitotic metaphase chromosome alignment,,,ISO,Q8N9V6 ,J:164563 
MGI:1922555,Ankrd53,ankyrin repeat domain 53,6,,regulation of mitotic cytokinesis,,,IBA,PTN001192898 ,J:265628 
MGI:1922555,Ankrd53,ankyrin repeat domain 53,6,,regulation of mitotic cytokinesis,,,ISO,Q8N9V6 ,J:164563 
MGI:1922555,Ankrd53,ankyrin repeat domain 53,6,,regulation of mitotic spindle organization,,,IBA,PTN001192898 ,J:265628 
MGI:1922555,Ankrd53,ankyrin repeat domain 53,6,,regulation of mitotic spindle organization,,,ISO,Q8N9V6 ,J:164563 
MGI:1920174,Anln,"anillin, actin binding protein",9,,mitotic cytokinesis,,,IBA,PTN001853010 ,J:265628 
MGI:1920174,Anln,"anillin, actin binding protein",9,,mitotic cytokinesis,,,ISO,Q9NQW6 ,J:73065 
MGI:1914878,Anp32b,acidic nuclear phosphoprotein 32 family member B,4,,G1/S transition of mitotic cell cycle,,,ISO,AB025581 ,J:74709 
MGI:1914878,Anp32b,acidic nuclear phosphoprotein 32 family member B,4,,positive regulation of G1/S transition of mitotic cell cycle,,,ISO,RGD:621285 ,J:155856 
MGI:96819,Anxa1,annexin A1,19,,positive regulation of G1/S transition of mitotic cell cycle,,,IBA,PTN002574794 ,J:265628 
MGI:96819,Anxa1,annexin A1,19,,positive regulation of G1/S transition of mitotic cell cycle,,,IMP,MGI:2449710 ,J:83336 
MGI:88039,Apc,"APC, WNT signaling pathway regulator",18,,metaphase/anaphase transition of mitotic cell cycle,"happens in hematopoietic stem cell,happens in epithelial cell,happens in small intestine",,IGI,MGI:1333889 ,J:97036 
MGI:88039,Apc,"APC, WNT signaling pathway regulator",18,,metaphase/anaphase transition of mitotic cell cycle,"happens in hematopoietic stem cell,happens in epithelial cell,happens in small intestine",,IMP,MGI:1856318 ,J:97036 
MGI:88039,Apc,"APC, WNT signaling pathway regulator",18,,metaphase/anaphase transition of mitotic cell cycle,"happens in immature T cell,happens in thymus",,IMP,MGI:3589207 ,J:100461 
MGI:88039,Apc,"APC, WNT signaling pathway regulator",18,,mitotic cytokinesis,happens in small intestine crypt of lieberkuhn,,IMP,MGI:1856318 ,J:134792 
MGI:88039,Apc,"APC, WNT signaling pathway regulator",18,,mitotic cytokinesis,"happens in epithelial cell,happens in intestine epithelium",,IMP,MGI:1857951 ,J:125809 
MGI:88039,Apc,"APC, WNT signaling pathway regulator",18,,mitotic cytokinesis,,,ISO,P25054 ,J:73065 
MGI:88039,Apc,"APC, WNT signaling pathway regulator",18,,mitotic spindle assembly checkpoint signaling,,,ISO,P25054 ,J:73065 
MGI:88039,Apc,"APC, WNT signaling pathway regulator",18,,negative regulation of G1/S transition of mitotic cell cycle,,,ISO,P25054 ,J:164563 
MGI:88042,Apex1,apurinic/apyrimidinic endonuclease 1,14,,positive regulation of G1/S transition of mitotic cell cycle,,,ISO,RGD:2126 ,J:155856 
MGI:88059,App,amyloid beta precursor protein,16,,G2/M transition of mitotic cell cycle,"happens in cerebral cortex ventricular layer,happens in neuroblast (sensu Vertebrata)",,IMP,MGI:2154535 ,J:95286 
MGI:88059,App,amyloid beta precursor protein,16,,mitotic cell cycle,"happens in cerebral cortex ventricular layer,happens in neuroblast (sensu Vertebrata)",,IMP,MGI:2154535 ,J:95286 
MGI:88059,App,amyloid beta precursor protein,16,,positive regulation of G2/M transition of mitotic cell cycle,positively regulates G2/M transition of mitotic cell cycle,,IMP,MGI:2154535 ,J:95286 
MGI:88059,App,amyloid beta precursor protein,16,,positive regulation of mitotic cell cycle,positively regulates mitotic cell cycle,,IMP,MGI:2154535 ,J:95286 
MGI:1920243,Appl1,"adaptor protein, phosphotyrosine interaction, PH domain and leucine zipper containing 1",14,,regulation of G1/S transition of mitotic cell cycle,,,ISO,Q9UKG1 ,J:164563 
MGI:2384914,Appl2,"adaptor protein, phosphotyrosine interaction, PH domain and leucine zipper containing 2",10,,regulation of G1/S transition of mitotic cell cycle,,,ISO,Q8NEU8 ,J:164563 
MGI:99431,Arf1,ADP-ribosylation factor 1,11,,mitotic cleavage furrow ingression,,,IGI,P61209 ,J:240324 
MGI:2685928,Arhgap33os,"Rho GTPase activating protein 33, opposite strand",7,,mitotic sister chromatid separation,,,IBA,PTN001128618 ,J:265628 
MGI:2685928,Arhgap33os,"Rho GTPase activating protein 33, opposite strand",7,,mitotic spindle assembly checkpoint signaling,,,IBA,PTN001128618 ,J:265628 
MGI:103264,Arhgef2,Rho/Rac guanine nucleotide exchange factor 2,3,,establishment of mitotic spindle orientation,,,IMP,,J:161097 
MGI:2444453,Arhgef10,Rho guanine nucleotide exchange factor 10,8,,mitotic spindle assembly,,,IBA,PTN002656965 ,J:265628 
MGI:2444453,Arhgef10,Rho guanine nucleotide exchange factor 10,8,,mitotic spindle assembly,,,ISO,O15013 ,J:164563 
MGI:1935147,Arid1a,AT-rich interaction domain 1A,4,,regulation of G1/S transition of mitotic cell cycle,,,NAS,,J:320113 
MGI:1935147,Arid1a,AT-rich interaction domain 1A,4,,regulation of mitotic metaphase/anaphase transition,,,NAS,,J:198738 
MGI:1935147,Arid1a,AT-rich interaction domain 1A,4,,regulation of mitotic metaphase/anaphase transition,,,NAS,,J:319964 
MGI:1926129,Arid1b,AT-rich interaction domain 1B,17,,regulation of G1/S transition of mitotic cell cycle,,,NAS,,J:320113 
MGI:1926129,Arid1b,AT-rich interaction domain 1B,17,,regulation of mitotic metaphase/anaphase transition,,,NAS,,J:198738 
MGI:1924294,Arid2,AT-rich interaction domain 2,15,,regulation of G1/S transition of mitotic cell cycle,,,NAS,,J:320113 
MGI:1924294,Arid2,AT-rich interaction domain 2,15,,regulation of mitotic metaphase/anaphase transition,,,NAS,,J:319964 
MGI:1929699,Arl3,ADP-ribosylation factor-like 3,19,,mitotic cytokinesis,,,ISO,P36405 ,J:164563 
MGI:1891691,Arpp19,cAMP-regulated phosphoprotein 19,9,,G2/M transition of mitotic cell cycle,,,ISO,P56211 ,J:164563 
MGI:1891691,Arpp19,cAMP-regulated phosphoprotein 19,9,,mitotic cell cycle,,,ISO,P56211 ,J:164563 
MGI:96919,Ascl1,achaete-scute family bHLH transcription factor 1,10,,regulation of mitotic cell cycle,regulates mitotic cell cycle,,IMP,MGI:1857470 ,J:188110 
MGI:1350929,Asns,asparagine synthetase,6,,positive regulation of mitotic cell cycle,,,ISO,P08243 ,J:164563 
MGI:2442925,Atad5,"ATPase family, AAA domain containing 5",11,,regulation of mitotic cell cycle phase transition,,,IMP,MGI:4127920 ,J:230702 
MGI:109349,Atf2,activating transcription factor 2,2,,mitotic intra-S DNA damage checkpoint signaling,,,ISO,P15336 ,J:164563 
MGI:107202,Atm,ataxia telangiectasia mutated,9,,mitotic G2 DNA damage checkpoint signaling,,,ISO,Q13315 ,J:164563 
MGI:107202,Atm,ataxia telangiectasia mutated,9,,mitotic G2 DNA damage checkpoint signaling,,,ISO,Q13315 ,J:206795 
MGI:107202,Atm,ataxia telangiectasia mutated,9,,mitotic spindle assembly checkpoint signaling,,,ISO,Q13315 ,J:164563 
MGI:894678,Aurka,aurora kinase A,2,,mitotic cell cycle,,,IMP,,J:196491 
MGI:894678,Aurka,aurora kinase A,2,,mitotic cell cycle,,,IMP,,J:97428 
MGI:894678,Aurka,aurora kinase A,2,,mitotic centrosome separation,,,IGI,MGI:1932915 ,J:117672 
MGI:894678,Aurka,aurora kinase A,2,,mitotic centrosome separation,"happens in fibroblast,happens in early embryonic cell (metazoa)",,IMP,MGI:3836423 ,J:145744 
MGI:894678,Aurka,aurora kinase A,2,,mitotic spindle organization,,,IBA,PTN000681967 ,J:265628 
MGI:894678,Aurka,aurora kinase A,2,,mitotic spindle organization,happens in mouse,,IMP,MGI:3826513 ,J:143099 
MGI:894678,Aurka,aurora kinase A,2,,mitotic spindle organization,happens in early embryonic cell (metazoa),,IMP,MGI:5498678 ,J:198479 
MGI:107168,Aurkb,aurora kinase B,11,,mitotic cell cycle,,,NAS,,J:319980 
MGI:107168,Aurkb,aurora kinase B,11,,mitotic cytokinesis,,,NAS,,J:319980 
MGI:107168,Aurkb,aurora kinase B,11,,mitotic spindle midzone assembly,,,ISO,Q96GD4 ,J:164563 
MGI:107168,Aurkb,aurora kinase B,11,,mitotic spindle midzone assembly,,,NAS,,J:319980 
MGI:107168,Aurkb,aurora kinase B,11,,mitotic spindle organization,,,IBA,PTN000681967 ,J:265628 
MGI:107168,Aurkb,aurora kinase B,11,,mitotic spindle organization,,,NAS,,J:319980 
MGI:107168,Aurkb,aurora kinase B,11,,positive regulation of attachment of mitotic spindle microtubules to kinetochore,,,NAS,,J:319980 
MGI:107168,Aurkb,aurora kinase B,11,,positive regulation of lateral attachment of mitotic spindle microtubules to kinetochore,,,ISO,Q96GD4 ,J:164563 
MGI:107168,Aurkb,aurora kinase B,11,,positive regulation of mitotic cell cycle spindle assembly checkpoint,,,NAS,,J:319980 
MGI:107168,Aurkb,aurora kinase B,11,,positive regulation of mitotic cytokinesis,,,NAS,,J:319980 
MGI:107168,Aurkb,aurora kinase B,11,,positive regulation of mitotic sister chromatid segregation,,,ISO,Q96GD4 ,J:164563 
MGI:107168,Aurkb,aurora kinase B,11,,positive regulation of mitotic sister chromatid separation,,,NAS,,J:319980 
MGI:1321119,Aurkc,aurora kinase C,7,,mitotic spindle organization,,,IBA,PTN000681967 ,J:265628 
MGI:1921518,Aven,"apoptosis, caspase activation inhibitor",2,,negative regulation of G2/M transition of mitotic cell cycle,,,IBA,PTN001047187 ,J:265628 
MGI:3575512,AY074887,cDNA sequence AY074887,9,,regulation of G1/S transition of mitotic cell cycle,"happens in mesenchymal stem cell,happens in primary palate mesenchyme",,IDA,,J:83857 
MGI:1351332,Azi2,5-azacytidine induced gene 2,9,,mitotic cell cycle,,,IMP,MGI:5544312 ,J:204786 
MGI:1915501,Babam1,BRISC and BRCA1 A complex member 1,8,,mitotic G2 DNA damage checkpoint signaling,,,IBA,PTN001437420 ,J:265628 
MGI:1915501,Babam1,BRISC and BRCA1 A complex member 1,8,,mitotic G2 DNA damage checkpoint signaling,,,ISO,Q9NWV8 ,J:164563 
MGI:1915501,Babam1,BRISC and BRCA1 A complex member 1,8,,mitotic G2/M transition checkpoint,,,NAS,,J:320080 
MGI:1333875,Babam2,BRISC and BRCA1 A complex member 2,5,,mitotic G2 DNA damage checkpoint signaling,,,ISO,Q9NXR7 ,J:164563 
MGI:1333875,Babam2,BRISC and BRCA1 A complex member 2,5,,mitotic G2/M transition checkpoint,,,NAS,,J:320080 
MGI:894680,Bach1,"BTB and CNC homology 1, basic leucine zipper transcription factor 1",16,,regulation of transcription involved in G1/S transition of mitotic cell cycle,,,ISO,O14867 ,J:164563 
MGI:894680,Bach1,"BTB and CNC homology 1, basic leucine zipper transcription factor 1",16,,regulation of transcription involved in G2/M transition of mitotic cell cycle,,,ISO,O14867 ,J:164563 
MGI:1346330,Banf1,BAF nuclear assembly factor 1,19,,mitotic nuclear membrane reassembly,,,ISO,O75531 ,J:164563 
MGI:1206586,Bap1,Brca1 associated protein 1,14,,mitotic cell cycle,,,IMP,MGI:5439652 ,J:187380 
MGI:1328361,Bard1,BRCA1 associated RING domain 1,1,,mitotic G2/M transition checkpoint,,,NAS,,J:320080 
MGI:1353499,Baz1b,"bromodomain adjacent to zinc finger domain, 1B",5,,negative regulation of mitotic chromosome condensation,,,ISO,Q9UIG0 ,J:164563 
MGI:2143311,Bbs4,Bardet-Biedl syndrome 4,9,,mitotic cytokinesis,,,ISO,Q96RK4 ,J:164563 
MGI:1913415,Bccip,BRCA2 and CDKN1A interacting protein,7,,establishment of mitotic spindle orientation,,,ISO,Q9P287 ,J:164563 
MGI:1913415,Bccip,BRCA2 and CDKN1A interacting protein,7,,mitotic spindle assembly,,,ISO,Q9P287 ,J:164563 
MGI:1913415,Bccip,BRCA2 and CDKN1A interacting protein,7,,mitotic spindle organization,,,IMP,,J:240998 
MGI:1913415,Bccip,BRCA2 and CDKN1A interacting protein,7,,mitotic spindle organization,,,ISO,Q9P287 ,J:164563 
MGI:88138,Bcl2,B cell leukemia/lymphoma 2,1,,G1/S transition of mitotic cell cycle,happens in myeloid cell,,IMP,,J:86240 
MGI:88138,Bcl2,B cell leukemia/lymphoma 2,1,,mitotic cell cycle,happens in T cell,,IDA,,J:42051 
MGI:88138,Bcl2,B cell leukemia/lymphoma 2,1,,negative regulation of G1/S transition of mitotic cell cycle,,,IDA,,J:88281 
MGI:88138,Bcl2,B cell leukemia/lymphoma 2,1,,negative regulation of G1/S transition of mitotic cell cycle,negatively regulates G1/S transition of mitotic cell cycle,,IMP,,J:86240 
MGI:88138,Bcl2,B cell leukemia/lymphoma 2,1,,negative regulation of G1/S transition of mitotic cell cycle,,,IMP,,J:88281 
MGI:88138,Bcl2,B cell leukemia/lymphoma 2,1,,negative regulation of mitotic cell cycle,negatively regulates mitotic cell cycle,,IDA,,J:42051 
MGI:1924295,Bcl7a,B cell CLL/lymphoma 7A,5,,regulation of G1/S transition of mitotic cell cycle,,,NAS,,J:320113 
MGI:1924295,Bcl7a,B cell CLL/lymphoma 7A,5,,regulation of mitotic metaphase/anaphase transition,,,NAS,,J:319964 
MGI:1332238,Bcl7b,B cell CLL/lymphoma 7B,5,,regulation of G1/S transition of mitotic cell cycle,,,NAS,,J:320113 
MGI:1332238,Bcl7b,B cell CLL/lymphoma 7B,5,,regulation of mitotic metaphase/anaphase transition,,,NAS,,J:319964 
MGI:1332237,Bcl7c,B cell CLL/lymphoma 7C,7,,regulation of G1/S transition of mitotic cell cycle,,,NAS,,J:320113 
MGI:1332237,Bcl7c,B cell CLL/lymphoma 7C,7,,regulation of mitotic metaphase/anaphase transition,,,NAS,,J:319964 
MGI:1891828,Becn1,"beclin 1, autophagy related",11,,mitotic metaphase chromosome alignment,,,ISO,Q14457 ,J:164563 
MGI:1891828,Becn1,"beclin 1, autophagy related",11,,positive regulation of attachment of mitotic spindle microtubules to kinetochore,,,ISO,Q14457 ,J:164563 
MGI:3606746,Bex4,brain expressed X-linked 4,X,,regulation of mitotic cell cycle,,,IMP,,J:243608 
MGI:108093,Bid,BH3 interacting domain death agonist,6,,regulation of G1/S transition of mitotic cell cycle,regulates G1/S transition of mitotic cell cycle,,IMP,MGI:2158671 ,J:98464 
MGI:1203517,Birc5,baculoviral IAP repeat-containing 5,11,,G2/M transition of mitotic cell cycle,,,ISO,O15392 ,J:164563 
MGI:1203517,Birc5,baculoviral IAP repeat-containing 5,11,,mitotic cell cycle,,,NAS,,J:319980 
MGI:1203517,Birc5,baculoviral IAP repeat-containing 5,11,,mitotic cytokinesis,,,ISO,O15392 ,J:164563 
MGI:1203517,Birc5,baculoviral IAP repeat-containing 5,11,,mitotic cytokinesis,,,NAS,,J:319980 
MGI:1203517,Birc5,baculoviral IAP repeat-containing 5,11,,mitotic spindle assembly checkpoint signaling,,,ISO,O15392 ,J:164563 
MGI:1203517,Birc5,baculoviral IAP repeat-containing 5,11,,mitotic spindle midzone assembly,,,NAS,,J:319980 
MGI:1203517,Birc5,baculoviral IAP repeat-containing 5,11,,mitotic spindle organization,,,NAS,,J:319980 
MGI:1203517,Birc5,baculoviral IAP repeat-containing 5,11,,positive regulation of attachment of mitotic spindle microtubules to kinetochore,,,NAS,,J:319980 
MGI:1203517,Birc5,baculoviral IAP repeat-containing 5,11,,positive regulation of exit from mitosis,,,ISO,O15392 ,J:164563 
MGI:1203517,Birc5,baculoviral IAP repeat-containing 5,11,,positive regulation of mitotic cell cycle,,,ISO,O15392 ,J:164563 
MGI:1203517,Birc5,baculoviral IAP repeat-containing 5,11,,positive regulation of mitotic cell cycle spindle assembly checkpoint,,,NAS,,J:319980 
MGI:1203517,Birc5,baculoviral IAP repeat-containing 5,11,,positive regulation of mitotic cytokinesis,,,NAS,,J:319980 
MGI:1203517,Birc5,baculoviral IAP repeat-containing 5,11,,positive regulation of mitotic sister chromatid separation,,,NAS,,J:319980 
MGI:1203517,Birc5,baculoviral IAP repeat-containing 5,11,,regulation of mitotic cell cycle,regulates mitotic cell cycle,,IMP,MGI:3046203 ,J:151770 
MGI:1328362,Blm,"Bloom syndrome, RecQ like helicase",7,,mitotic G2 DNA damage checkpoint signaling,,,ISO,P54132 ,J:164563 
MGI:88180,Bmp4,bone morphogenetic protein 4,14,,negative regulation of mitotic nuclear division,,,ISO,P12644 ,J:164563 
MGI:103302,Bmp7,bone morphogenetic protein 7,2,,negative regulation of mitotic nuclear division,,,ISO,P18075 ,J:164563 
MGI:88184,Bmyc,brain expressed myelocytomatosis oncogene,2,,G1/S transition of mitotic cell cycle,,,ISO,P01106 ,J:164563 
MGI:1924994,Bora,"bora, aurora kinase A activator",14,,regulation of mitotic nuclear division,,,IBA,PTN001027713 ,J:265628 
MGI:1924994,Bora,"bora, aurora kinase A activator",14,,regulation of mitotic nuclear division,,,ISO,Q6PGQ7 ,J:164563 
MGI:1924994,Bora,"bora, aurora kinase A activator",14,,regulation of mitotic spindle organization,,,IBA,PTN001027713 ,J:265628 
MGI:1924994,Bora,"bora, aurora kinase A activator",14,,regulation of mitotic spindle organization,,,ISO,Q6PGQ7 ,J:164563 
MGI:104537,Brca1,"breast cancer 1, early onset",11,,mitotic G2 DNA damage checkpoint signaling,,,ISO,P38398 ,J:164563 
MGI:104537,Brca1,"breast cancer 1, early onset",11,,mitotic G2/M transition checkpoint,,,IMP,,J:92253 
MGI:104537,Brca1,"breast cancer 1, early onset",11,,mitotic G2/M transition checkpoint,,,NAS,,J:320080 
MGI:109337,Brca2,"breast cancer 2, early onset",5,,mitotic recombination-dependent replication fork processing,,,ISO,P51587 ,J:164563 
MGI:109337,Brca2,"breast cancer 2, early onset",5,,positive regulation of mitotic cell cycle,,,IMP,MGI:1930616 ,J:47362 
MGI:2389572,Brcc3,"BRCA1/BRCA2-containing complex, subunit 3",X,,mitotic G2 DNA damage checkpoint signaling,,,ISO,P46736 ,J:164563 
MGI:2389572,Brcc3,"BRCA1/BRCA2-containing complex, subunit 3",X,,mitotic G2/M transition checkpoint,,,NAS,,J:320080 
MGI:3647286,Brcc3dc,"BRCA1/BRCA2-containing complex, subunit 3, domain containing",10,,mitotic G2 DNA damage checkpoint signaling,,,ISO,P46736 ,J:164563 
MGI:1888520,Brd4,bromodomain containing 4,17,,positive regulation of G2/M transition of mitotic cell cycle,,,ISO,O60885 ,J:73065 
MGI:1888520,Brd4,bromodomain containing 4,17,,regulation of transcription involved in G1/S transition of mitotic cell cycle,,,ISO,O60885 ,J:73065 
MGI:1349766,Brd7,bromodomain containing 7,8,,negative regulation of G1/S transition of mitotic cell cycle,,,ISO,Q9NPI1 ,J:164563 
MGI:1349766,Brd7,bromodomain containing 7,8,,regulation of G1/S transition of mitotic cell cycle,,,NAS,,J:320113 
MGI:1349766,Brd7,bromodomain containing 7,8,,regulation of mitotic cell cycle,,,ISO,Q9NPI1 ,J:164563 
MGI:1349766,Brd7,bromodomain containing 7,8,,regulation of mitotic metaphase/anaphase transition,,,NAS,,J:319964 
MGI:1928478,Brinp1,bone morphogenic protein/retinoic acid inducible neural specific 1,4,,negative regulation of mitotic cell cycle,,,IBA,PTN000399777 ,J:265628 
MGI:1928478,Brinp1,bone morphogenic protein/retinoic acid inducible neural specific 1,4,,negative regulation of mitotic cell cycle,,,IDA,,J:202735 
MGI:2443333,Brinp2,bone morphogenic protein/retinoic acid inducible neural-specific 2,1,,negative regulation of mitotic cell cycle,,,IBA,PTN000399777 ,J:265628 
MGI:2443333,Brinp2,bone morphogenic protein/retinoic acid inducible neural-specific 2,1,,negative regulation of mitotic cell cycle,,,IDA,,J:202735 
MGI:2443035,Brinp3,bone morphogenetic protein/retinoic acid inducible neural specific 3,1,,negative regulation of mitotic cell cycle,,,IBA,PTN000399777 ,J:265628 
MGI:2443035,Brinp3,bone morphogenetic protein/retinoic acid inducible neural specific 3,1,,negative regulation of mitotic cell cycle,,,IDA,,J:202735 
MGI:1918928,Brox,BRO1 domain and CAAX motif containing,1,,mitotic nuclear membrane reassembly,,,ISO,Q5VW32 ,J:164563 
